Source,Target
student 25,student 5
student 25,student 7
student 25,student 18
student 25,student 20
student 25,student 24
student 25,student 21
student 26,student 18
student 26,student 2
student 26,student 3
student 26,student 4
student 26,student 12
student 26,student 14
student 26,student 15
student 26,student 16
student 26,student 18
student 26,student 21
student 26,student 27
student 4,student 1
student 4,student 3
student 4,student 5
student 2,student 1
student 2,student 3
student 2,student 12
student 2,student 16
student 2,student 17
student 2,student 23
student 2,student 26
student 2,student 27
student 14,student 13
student 14,student 15
student 14,student 17
student 14,student 26
student 8,student 1
student 8,student 2
student 8,student 3
student 8,student 4
student 8,student 5
student 8,student 6
student 8,student 7
student 8,student 8
student 8,student 9
student 8,student 10
student 8,student 11
student 8,student 14
student 8,student 15
student 8,student 16
student 8,student 17
student 8,student 18
student 8,student 20
student 8,student 21
student 8,student 24
student 8,student 26
student 8,student 27
student 27,student 1
student 27,student 2
student 27,student 3
student 27,student 26
student 24,student 5
student 24,student 7
student 24,student 8
student 24,student 10
student 24,student 11
student 24,student 16
student 24,student 18
student 24,student 19
student 24,student 20
student 24,student 21
student 24,student 22
student 24,student 25
student 21,student 1
student 21,student 3
student 21,student 4
student 21,student 6
student 21,student 16
student 21,student 20
student 21,student 27
student 18,student 4
student 18,student 5
student 18,student 7
student 18,student 8
student 18,student 9
student 18,student 11
student 18,student 15
student 18,student 16
student 18,student 18
student 18,student 19
student 18,student 20
student 18,student 21
student 18,student 22
student 18,student 24
student 18,student 25
student 18,student 27
student 18,student 12
student 12,student 1
student 12,student 2
student 12,student 3
student 12,student 15
student 12,student 26
